country,country_code,year,health_exp,life_expect,maternal_mortality,infant_mortality,neonatal_mortality,under_5_mortality,prev_hiv,inci_tuberc,prev_undernourishment
Bhutan,BTN,1999,,62.23,,61.2,33.2,83.2,0.1,,
Botswana,BWA,1999,,51.694,,39.5,9.6,77.1,25.3,,
Central African Republic,CAF,1999,,45.75,,109.2,44.2,167.5,7.8,,
Canada,CAN,1999,,78.83902439,,5.3,3.7,6.3,0.2,,
Central Europe and the Baltics,CEB,1999,,72.18456107,,11.06633186,6.916960193,13.10646065,0.102287359,,
Switzerland,CHE,1999,,79.5804878,,4.7,3.4,5.7,0.2,,
Channel Islands,CHI,1999,,78.935,,,,,,,
Chile,CHL,1999,,76.018,,9.8,6,11.5,0.2,,
China,CHN,1999,,71.419,,31.9,22.4,39.1,,,
Cote d'Ivoire,CIV,1999,,50.957,,96.2,42,144.1,6.9,,
Cameroon,CMR,1999,,52.695,,89.3,37,146.9,4.6,,
"Congo, Dem. Rep.",COD,1999,,49.945,,108.3,38.7,162.9,1.8,,
"Congo, Rep.",COG,1999,,52.757,,72.7,31.1,114.5,4.3,,
Colombia,COL,1999,,70.926,,21.9,13.9,25.9,0.3,,
Comoros,COM,1999,,58.781,,71.1,40.8,98.6,0.1,,
Cabo Verde,CPV,1999,,67.569,,31.2,18,38.3,0.8,,
Costa Rica,CRI,1999,,77.138,,11.8,7.8,13.6,0.1,,
Caribbean small states,CSS,1999,,68.32604918,,26.07024384,17.63311039,31.47829835,0.98967289,,
Cuba,CUB,1999,,75.893,,7.2,4.2,8.9,0.1,,
Curacao,CUW,1999,,72.93756098,,,,,,,
Cayman Islands,CYM,1999,,,,,,,,,
Cyprus,CYP,1999,,76.295,,6,3.8,7,0.1,,
Czechia,CZE,1999,,74.66829268,,4.8,2.9,5.8,0.1,,
Germany,DEU,1999,,77.72682927,,4.5,2.8,5.5,,,
Djibouti,DJI,1999,,56.427,,80.4,43.9,101.7,,,
Dominica,DMA,1999,,70.631,,15.3,13.5,17.2,,,
Denmark,DNK,1999,,76.34146341,,4.8,3.6,5.7,0.1,,
Dominican Republic,DOM,1999,,69.279,,33.2,23.2,41,1.5,,
Algeria,DZA,1999,,70.032,,36.8,22.6,43.2,0.1,,
East Asia & Pacific (excluding high income),EAP,1999,,70.18410895,,35.05863167,22.41000269,44.63888033,,,
Early-demographic dividend,EAR,1999,,64.1449483,,59.89943993,37.91403598,82.46930466,0.883837262,,
East Asia & Pacific,EAS,1999,,71.15641744,,32.9,21,42,,,
Europe & Central Asia (excluding high income),ECA,1999,,68.36920827,,37.6280652,21.26071104,45.60832295,,,
Europe & Central Asia,ECS,1999,,72.87827018,,18.7,10.9,22.8,,,
Ecuador,ECU,1999,,72.463,,26,14.9,31.3,0.3,,
"Egypt, Arab Rep.",EGY,1999,,67.737,,39.3,23.4,49.7,0.1,,
Euro area,EMU,1999,,77.94197478,,4.934189208,3.268761938,6.044741577,0.224352651,,
Eritrea,ERI,1999,,43.397,,58.9,27.6,90.2,1.5,,
Spain,ESP,1999,,78.71707317,,4.5,2.9,5.6,0.4,,
Estonia,EST,1999,,70.06341463,,9.4,5.8,11.9,0.1,,
Ethiopia,ETH,1999,,49.425,,90.8,49.3,147.3,2.9,,
European Union,EUU,1999,,76.74518916,,6.219233169,4.037317333,7.512245947,0.190077455,,
Fragile and conflict affected situations,FCS,1999,,54.84139348,,88.07449269,41.38746456,142.5674542,2.311756668,,
Finland,FIN,1999,,77.29121951,,3.6,2.6,4.4,,,
Fiji,FJI,1999,,66.763,,19.4,10,22.8,0.1,,
France,FRA,1999,,78.75609756,,4.3,2.8,5.5,0.2,,
Faroe Islands,FRO,1999,,78.23170732,,,,,,,
"Micronesia, Fed. Sts.",FSM,1999,,69.706,,32.4,20.9,39.9,,,
Gabon,GAB,1999,,60.849,,54.7,28.4,85.8,5,,
United Kingdom,GBR,1999,,77.3902439,,5.6,3.8,6.7,,,
Georgia,GEO,1999,,69.319,,33.6,23.3,38.6,0.1,,
Ghana,GHA,1999,,58.03,,66.7,36.7,103.9,2.6,,
Gibraltar,GIB,1999,,81.533,,,,,,,
Guinea,GIN,1999,,52.356,,104.3,49.1,172.6,1.6,,
"Gambia, The",GMB,1999,,56.816,,63.3,41,117.9,1.4,,
Guinea-Bissau,GNB,1999,,48.006,,107.6,55.9,178.7,3.4,,
Equatorial Guinea,GNQ,1999,,52.752,,109.3,46.9,159.4,3.7,,
Greece,GRC,1999,,77.98780488,,5.9,4.2,6.8,0.1,,
Grenada,GRD,1999,,72.903,,13.2,7.9,15.8,,,
Greenland,GRL,1999,,66.49756098,,,,,,,
Guatemala,GTM,1999,,66.869,,42.5,22.1,54.3,0.5,,
Guam,GUM,1999,,74.066,,,,,,,
Guyana,GUY,1999,,64.17,,37.9,27.7,47.8,0.5,,
High income,HIC,1999,,75.8046808,,7.1,4.5,8.6,,,
"Hong Kong SAR, China",HKG,1999,,80.37268293,,,,,,,
Honduras,HND,1999,,68.422,,31.7,18.2,39,0.9,,
Heavily indebted poor countries (HIPC),HPC,1999,,51.83905483,,91.40010443,41.77505695,149.7866741,3.637756098,,
Croatia,HRV,1999,,72.64195122,,7.4,5.7,8.6,0.1,,
Haiti,HTI,1999,,57.961,,76.5,30.6,107.1,2.4,,
Hungary,HUN,1999,,70.67707317,,9.1,6,10.6,,,
IBRD only,IBD,1999,,67.91019377,,45.77015655,29.60653579,61.11436661,,,
IDA & IBRD total,IBT,1999,,65.34186412,,59.70509603,34.37755956,86.25999595,,,
IDA total,IDA,1999,,56.20626889,,85.97591638,43.3721238,133.6657498,2.471656266,,
IDA blend,IDB,1999,,55.29833154,,91.05889285,47.32459281,137.3051456,,,
Indonesia,IDN,1999,,66.221,,42.6,23.8,54.6,0.1,,
IDA only,IDX,1999,,56.65672727,,83.41751681,41.38273921,131.8339434,2.268147117,,
Isle of Man,IMN,1999,,73.666,,,,,,,
India,IND,1999,,62.207,,68.4,46.1,95.3,0.6,,
Not classified,INX,1999,,,,,,,,,
Ireland,IRL,1999,,76.08292683,,6.1,4.1,7.3,0.1,,
"Iran, Islamic Rep.",IRN,1999,,69.297,,31.2,19.9,38.4,0.1,,
Iraq,IRQ,1999,,66.182,,36.2,24.2,45.3,0.1,,
Iceland,ISL,1999,,79.35121951,,3.4,2.2,4.2,0.1,,
Israel,ISR,1999,,78.65853659,,5.9,3.7,7.2,,,
Italy,ITA,1999,,79.42439024,,5,3.7,5.9,0.2,,
Jamaica,JAM,1999,,70.968,,18,16.4,21.1,1.6,,
Jordan,JOR,1999,,71.694,,23.2,16.3,27.6,0.1,,
Japan,JPN,1999,,80.46097561,,3.4,1.8,4.7,,,
Kazakhstan,KAZ,1999,,65.63,,38.7,24.2,45,,,
Kenya,KEN,1999,,54.495,,60.5,25.8,100.3,9.2,,
Kyrgyz Republic,KGZ,1999,,68.65609756,,44,20.9,51.7,0.1,,
Cambodia,KHM,1999,,57.69,,83.1,36.9,113,1.2,,
Kiribati,KIR,1999,,64.136,,51.8,28.3,68.3,,,
St. Kitts and Nevis,KNA,1999,,68.709,,21,17.2,24.9,,,
"Korea, Rep.",KOR,1999,,75.4097561,,6.8,3.6,8,,,
Kuwait,KWT,1999,,76.416,,11.2,6.8,13,0.1,,
Latin America & Caribbean (excluding high income),LAC,1999,,70.61495794,,29.89492888,17.61424987,36.20552995,0.358276528,,
Lao PDR,LAO,1999,,57.873,,78.9,39,110.9,0.1,,
Lebanon,LBN,1999,,73.49,,17.8,12.5,20.9,0.1,,
Liberia,LBR,1999,,49.953,,135.8,50.8,202.2,2.2,,
Libya,LBY,1999,,71.058,,24.8,15.5,28.9,0.1,,
St. Lucia,LCA,1999,,70.709,,15.8,11,18.3,,,
Latin America & Caribbean,LCN,1999,,70.92333929,,28.8,17,34.8,0.354779754,,
Least developed countries: UN classification,LDC,1999,,55.27902523,,88.00523534,43.34008994,140.4345144,2.315865798,,
Low income,LIC,1999,,52.29276838,,92.4,43.1,151.6,2.828194474,,
Liechtenstein,LIE,1999,,79.1097561,,,,,,,
Sri Lanka,LKA,1999,,72.618,,15,10.6,17.5,0.1,,
Lower middle income,LMC,1999,,61.66264231,,69.4,41.4,99.9,1.033574845,,
Low & middle income,LMY,1999,,65.14286034,,60.73374304,34.97636843,87.89106476,1.194752981,,
Lesotho,LSO,1999,,50.081,,70.4,38.1,108.3,21,,
Late-demographic dividend,LTE,1999,,70.76097036,,29.49789759,19.8371241,36.17649497,,,
Lithuania,LTU,1999,,71.57073171,,8.9,4.7,11.1,0.1,,
Luxembourg,LUX,1999,,77.77073171,,4,2.4,4.8,0.1,,
Latvia,LVA,1999,,69.74292683,,12.4,7.8,15.4,0.2,,
"Macao SAR, China",MAC,1999,,80.652,,,,,,,
St. Martin (French part),MAF,1999,,76.502,,,,,,,
Morocco,MAR,1999,,66.406,,45.6,29.4,54.6,0.1,,
Monaco,MCO,1999,,,,4.3,2.9,5.3,,,
Moldova,MDA,1999,,65.561,,28.3,22,34.3,0.3,,
Madagascar,MDG,1999,,57.372,,70,31.9,109.8,0.1,,
Maldives,MDV,1999,,70.088,,35,24.7,43.7,0.1,,
Middle East & North Africa,MEA,1999,,68.84492282,,36.2,22.2,45.5,0.1,,
Mexico,MEX,1999,,73.225,,24.6,15.1,29.5,0.2,,
Marshall Islands,MHL,1999,,63.48,,34,18.8,42.1,,,
Middle income,MIC,1999,,66.24447275,,55.72709586,33.68836912,77.84166926,,,
North Macedonia,MKD,1999,,72.7902439,,15.1,9.7,16.9,0.1,,
Mali,MLI,1999,,49.797,,104.1,52.6,193.5,1.7,,
Malta,MLT,1999,,77.5,,6.9,5.3,7.9,0.1,,
Myanmar,MMR,1999,,59.881,,66.6,38.9,91.5,0.6,,
Middle East & North Africa (excluding high income),MNA,1999,,68.27199864,,38.82113594,23.74221684,48.93766533,0.1,,
Montenegro,MNE,1999,,72.6407561,,13,8.6,14.6,0.1,,
Mongolia,MNG,1999,,62.529,,51.6,25,68.1,0.1,,
Northern Mariana Islands,MNP,1999,,,,,,,,,
Mozambique,MOZ,1999,,48.812,,119.5,48.9,182,7.9,,
Mauritania,MRT,1999,,60.819,,64.4,40.1,102.4,0.6,,
Mauritius,MUS,1999,,70.96097561,,17.8,13.7,20.3,,,
Malawi,MWI,1999,,43.568,,105.3,40.8,184,14.8,,
Malaysia,MYS,1999,,72.283,,9.4,5.4,11,0.4,,
North America,NAC,1999,,76.80502283,,7.1,4.6,8.4,,,
Namibia,NAM,1999,,53.036,,46.3,24.4,78,13.3,,
New Caledonia,NCL,1999,,73.87560976,,,,,,,
Niger,NER,1999,,48.738,,101.3,45.5,237.5,0.8,,
Nigeria,NGA,1999,,46.614,,112.6,47.4,187.9,,,
Nicaragua,NIC,1999,,67.12,,32.8,17,40.5,0.2,,
Netherlands,NLD,1999,,77.83658537,,5.2,3.8,6.3,0.1,,
Norway,NOR,1999,,78.28292683,,4,2.7,5,,,
Nepal,NPL,1999,,62.113,,61.6,41.7,83.7,0.1,,
Nauru,NRU,1999,,58.803,,35.4,26.1,44.2,,,
New Zealand,NZL,1999,,77.8902439,,6.3,3.5,7.6,0.1,,
OECD members,OED,1999,,76.56594132,,11.83400692,7.365765848,14.31379971,,,
Oman,OMN,1999,,73.184,,15.1,7.8,17.6,0.1,,
Other small states,OSS,1999,,65.55437816,,48.56833811,24.74733786,66.0131163,3.336503923,,
Pakistan,PAK,1999,,61.679,,86.9,58,111.2,0.1,,
Panama,PAN,1999,,73.622,,22.1,14.7,26.3,0.6,,
Peru,PER,1999,,69.743,,31.5,17.1,41.2,0.5,,
Philippines,PHL,1999,,69.298,,28.8,16.7,37.8,0.1,,
Palau,PLW,1999,,,,26.2,14.7,27.4,,,
Papua New Guinea,PNG,1999,,61.672,,54.7,31.3,72.8,0.3,,
Poland,POL,1999,,73.04390244,,8.7,6.2,10,0.1,,
Pre-demographic dividend,PRE,1999,,50.72444453,,95.69937993,41.81934781,158.1054189,4.059272671,,
Puerto Rico,PRI,1999,,75.536,,,,,,,
"Korea, Dem. People's Rep.",PRK,1999,,60.798,,60.9,38.2,104.2,,,
Portugal,PRT,1999,,75.96341463,,5.9,3.5,7.7,0.5,,
Paraguay,PRY,1999,,69.634,,28.5,18.5,34.6,0.1,,
West Bank and Gaza,PSE,1999,,70.855,,26.1,17.3,31.4,,,
Pacific island small states,PSS,1999,,67.31268123,,24.25488961,12.72181001,29.2810596,,,
Post-demographic dividend,PST,1999,,77.09457488,,6.222990348,4.01498726,7.534027981,,,
French Polynesia,PYF,1999,,79.18,,,,,,,
Qatar,QAT,1999,,74.8,,11.2,6.9,13,0.1,,
Romania,ROU,1999,,70.51219512,,19.3,11,23,0.1,,
Russian Federation,RUS,1999,,65.98219512,,16.2,9.2,20.2,,,
Rwanda,RWA,1999,,44.616,,117.8,46.9,200.7,4.9,,
South Asia,SAS,1999,,62.56987526,,70.8,47.8,97.2,0.480801921,,
Saudi Arabia,SAU,1999,,72.136,,19.9,12.3,23.4,0.1,,
Sudan,SDN,1999,,57.015,,68.4,38,106.9,0.1,,
Senegal,SEN,1999,,56.609,,69.5,39,134.4,0.7,,
Singapore,SGP,1999,,77.55121951,,3.2,1.7,4.1,,,
Solomon Islands,SLB,1999,,67.069,,26,12.9,31.3,,,
Sierra Leone,SLE,1999,,42.071,,140.8,49.7,230.5,1.6,,
El Salvador,SLV,1999,,69.379,,28.8,15.7,34.9,0.4,,
San Marino,SMR,1999,,,,5.3,2.8,5.7,,,
Somalia,SOM,1999,,50.525,,104,44.3,171.9,,,
Serbia,SRB,1999,,69.71543902,,11.4,8.1,13.2,0.1,,
Sub-Saharan Africa (excluding high income),SSA,1999,,50.63813452,,93.78259868,41.04589617,155.5400017,5.680349137,,
South Sudan,SSD,1999,,43.223,,113.9,57.2,190.4,2.4,,
Sub-Saharan Africa,SSF,1999,,50.64080534,,93.8,41,155.6,5.680349137,,
Small states,SST,1999,,66.27261011,,40.75279838,21.55254924,54.11447442,2.57033405,,
Sao Tome and Principe,STP,1999,,61.393,,57.4,22.8,87.4,2.7,,
Suriname,SUR,1999,,65.443,,28.3,17.1,32.2,1.2,,
Slovak Republic,SVK,1999,,72.90243902,,8.4,5.2,10,0.1,,
Slovenia,SVN,1999,,75.0097561,,4.8,3.3,5.8,0.1,,
Sweden,SWE,1999,,79.44146341,,3.4,2.3,4.1,,,
Eswatini,SWZ,1999,,48.733,,67.8,29.1,109.9,23.6,,
Sint Maarten (Dutch part),SXM,1999,,75.034,,,,,,,
Seychelles,SYC,1999,,72.66829268,,11.9,8.7,13.8,,,
Syrian Arab Republic,SYR,1999,,70.425,,20.4,12.4,24.1,0.1,,
Turks and Caicos Islands,TCA,1999,,74.01,,7.9,6,11.2,,,
Chad,TCD,1999,,47.372,,101.2,45.1,187.4,2,,
East Asia & Pacific (IDA & IBRD countries),TEA,1999,,70.30812687,,34.67484423,22.17550911,43.75431687,,,
Europe & Central Asia (IDA & IBRD countries),TEC,1999,,68.19080786,,29.63196181,16.85146549,35.99004001,,,
Togo,TGO,1999,,54.538,,77.6,37.6,123.4,3.8,,
Thailand,THA,1999,,72.542,,19.2,12.5,22.5,2.3,,
Tajikistan,TJK,1999,,62.621,,72,29.1,89.8,0.1,,
Turkmenistan,TKM,1999,,64.518,,59.6,30.6,72.7,,,
Latin America & the Caribbean (IDA & IBRD countries),TLA,1999,,70.77467621,,29.07951985,17.16081309,35.16259763,0.35969922,,
Timor-Leste,TLS,1999,,45.701,,91.1,40.9,117.1,0.1,,
Middle East & North Africa (IDA & IBRD countries),TMN,1999,,68.24567408,,39.04203908,23.85408625,49.24220774,0.1,,
Tonga,TON,1999,,68.809,,14.9,7.4,17.3,,,
South Asia (IDA & IBRD),TSA,1999,,62.56987526,,70.81516855,47.8054903,97.20826974,0.480801921,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1999,,50.64080534,,93.77832117,41.04420644,155.5325972,5.680349137,,
Trinidad and Tobago,TTO,1999,,68.377,,24.6,17.8,27.8,1.1,,
Tunisia,TUN,1999,,73.508,,26.2,19.2,31.6,0.1,,
Turkiye,TUR,1999,,70.695,,32.8,19.5,40.5,,,
Tuvalu,TUV,1999,,63.427,,35.1,25,43.8,,,
Tanzania,TZA,1999,,51.748,,82.3,34,136.5,7.5,,
Uganda,UGA,1999,,47.786,,90.2,33.9,151.7,7.7,,
Ukraine,UKR,1999,,67.98097561,,16.4,11.4,19.1,,,
Upper middle income,UMC,1999,,70.31185798,,31.7,20,39.3,,,
Uruguay,URY,1999,,74.769,,15.3,8.5,17.6,0.2,,
United States,USA,1999,,76.58292683,,7.2,4.7,8.6,,,
Uzbekistan,UZB,1999,,65.383,,53.2,29.4,63.9,,,
St. Vincent and the Grenadines,VCT,1999,,71.3,,19.4,12.8,22.5,,,
"Venezuela, RB",VEN,1999,,72.254,,19.1,11.2,22.4,0.3,,
British Virgin Islands,VGB,1999,,74.412,,14.7,9.2,17.1,,,
Virgin Islands (U.S.),VIR,1999,,72.19685366,,,,,,,
Viet Nam,VNM,1999,,72.317,,24.6,15.8,31.4,0.2,,
Vanuatu,VUT,1999,,68.237,,24.5,12.4,29.4,,,
World,WLD,1999,,67.35527097,,54.8,31.6,79.1,0.7,,
Samoa,WSM,1999,,70.456,,18.7,9,22,,,
Kosovo,XKX,1999,,69.418,,46.4,28.7,52.7,,,
"Yemen, Rep.",YEM,1999,,61.975,,70.7,38.5,98,0.1,,
South Africa,ZAF,1999,,59.241,,48,18.1,68.6,12.1,,
Zambia,ZMB,1999,,44.659,,94.2,36.4,162.3,15.1,,
Zimbabwe,ZWE,1999,,45.206,,52.2,26.1,96.8,23.7,,
Aruba,ABW,2000,,73.569,,,,,,8,
Africa Eastern and Southern,AFE,2000,5.656959674,51.98698856,697,85.55891819,37.6915939,137.6534053,6.687212213,,
Afghanistan,AFG,2000,,55.298,1346,92,62.7,131.6,0.1,190,
Africa Western and Central,AFW,2000,3.723749845,50.19459481,925,99.0034981,43.7601968,169.0188948,,,
Angola,AGO,2000,1.90859938,46.024,860,120.7,50,202.9,1.3,297,
Albania,ALB,2000,5.94419765,75.404,14,24,12,27.1,0.1,22,
Andorra,AND,2000,5.95276403,,,6.5,3.5,7.6,,21,
Arab World,ARB,2000,3.92745353,67.14859466,240,43.70606812,25.46520346,59.66334682,0.104309457,,
United Arab Emirates,ARE,2000,2.37413526,74.38,22,8.4,5.8,10.7,0.1,3.8,
Argentina,ARG,2000,8.22001076,73.926,72,17.3,11.1,19.4,0.3,37,
Armenia,ARM,2000,4.2,70.624,50,27,15.9,30.6,0.1,54,
American Samoa,ASM,2000,,,,,,,,6.1,
Antigua and Barbuda,ATG,2000,4.71542597,74.606,51,12.2,9.9,14.9,,6.1,
Australia,AUS,2000,7.59412289,79.23414634,7,5.1,3.5,6.2,0.1,6.3,
Austria,AUT,2000,9.2,78.12682927,6,4.6,3.1,5.5,,17,
Azerbaijan,AZE,2000,2.95,64.891,56,61,34.7,74.5,0.1,80,
Burundi,BDI,2000,4.22181606,47.514,874,94.4,37.1,153.9,3.3,290,
Belgium,BEL,2000,7.99917603,77.72195122,8,4.9,3,5.9,0.1,14,
Benin,BEN,2000,2.9591713,56.578,469,84.7,39,136.3,1.6,86,
Burkina Faso,BFA,2000,2.9502635,50.847,506,90.5,40.4,178,1.9,70,
Bangladesh,BGD,2000,1.80504513,65.779,441,63,44.3,86,0.1,221,
Bulgaria,BGR,2000,5.83,71.66341463,22,14.4,7.9,17.5,0.1,52,
Bahrain,BHR,2000,3.33542562,75.496,24,10.7,4.7,12.5,,36,
"Bahamas, The",BHS,2000,3.80487037,72.041,61,13.8,7.7,16.1,1.8,29,
Bosnia and Herzegovina,BIH,2000,8,74.496,16,8.5,6.6,9.7,,83,
Belarus,BLR,2000,5.28,68.91219512,24,10,5.2,12.8,0.1,86,
Belize,BLZ,2000,2.98060012,68.564,86,20.6,12,24.4,1.1,49,
Bermuda,BMU,2000,,78.858,,,,,,0,
Bolivia,BOL,2000,4.39554119,62.346,284,55.9,29.5,75.7,0.3,184,
Brazil,BRA,2000,8.33457184,69.737,68,30.3,18.9,34.6,0.3,51,
Barbados,BRB,2000,5.33187246,74.089,48,13.4,8.9,14.7,1,1.3,
Brunei Darussalam,BRN,2000,2.5479064,74.08,50,8.4,4.9,10.3,,108,
Bhutan,BTN,2000,4.44684267,62.01,305,58.4,32.1,78.7,0.1,239,
Botswana,BWA,2000,6.10838556,51.011,182,38.3,10.1,77.8,25.3,914,
Central African Republic,CAF,2000,4.27478504,45.406,1315,108,43.4,165.2,7.6,540,
Canada,CAN,2000,8.24814415,79.16682927,9,5.3,3.7,6.2,0.2,6.4,
Central Europe and the Baltics,CEB,2000,5.701957784,72.71972472,20,10.38372097,6.498774102,12.28709387,0.104588527,,
Switzerland,CHE,2000,9.13442421,79.6804878,8,4.7,3.5,5.6,0.2,9.2,
Channel Islands,CHI,2000,,79.155,,,,,,,
Chile,CHL,2000,7.00020742,76.87,33,9.3,5.7,10.9,0.2,22,
China,CHN,2000,4.50828123,71.881,58,29.9,21.3,36.7,,107,
Cote d'Ivoire,CIV,2000,6.12679291,50.842,473,94.3,41.4,140.9,6.6,367,
Cameroon,CMR,2000,4.11237431,52.932,651,87.8,36,144.6,4.8,309,
"Congo, Dem. Rep.",COD,2000,1.46594739,51.781,668,106.3,38.4,158.9,1.8,327,
"Congo, Rep.",COG,2000,1.50500846,53.682,660,72,30.8,113.3,4.2,356,
Colombia,COL,2000,5.63529348,71.32,93,21.2,13.4,25.1,0.3,37,
Comoros,COM,2000,7.5153451,58.757,456,69.7,40.4,96.4,0.1,39,
Cabo Verde,CPV,2000,4.43401194,68.618,125,28.4,17.1,34.4,0.8,77,
Costa Rica,CRI,2000,6.56498766,77.586,39,11.1,7.7,13.1,0.1,18,
Caribbean small states,CSS,2000,4.312485602,68.52943333,155,25.47289658,17.31634015,30.64172043,1.038250864,,
Cuba,CUB,2000,6.58189821,76.183,47,6.9,4.1,8.6,0.1,12,
Curacao,CUW,2000,,73.03395122,,,,,,,
Cayman Islands,CYM,2000,,,,,,,,14,
Cyprus,CYP,2000,5.31,76.568,33,5.6,3.5,6.5,0.1,4,
Czechia,CZE,2000,5.70103025,74.96829268,8,4.5,2.7,5.5,0.1,16,
Germany,DEU,2000,9.88843536,77.92682927,7,4.4,2.8,5.4,,12,
Djibouti,DJI,2000,3.3991127,56.573,512,79,43.3,99.7,,664,
Dominica,DMA,2000,5.32374382,72.693,,15.7,14,17.5,,4.5,
Denmark,DNK,2000,8.1,76.59268293,8,4.7,3.5,5.6,0.1,13,
Dominican Republic,DOM,2000,4.88427496,69.423,79,32.3,23.1,39.8,1.5,78,
Algeria,DZA,2000,3.48903275,70.478,159,35.6,22.3,41.7,0.1,75,
East Asia & Pacific (excluding high income),EAP,2000,3.955165508,70.55580373,128,33.24190425,21.47904832,42.23377787,,193,
Early-demographic dividend,EAR,2000,4.71478808,64.4993929,338,57.99614564,36.86381004,79.34973142,0.893244133,,
East Asia & Pacific,EAS,2000,6.101960178,71.54352595,121,31.3,20.2,39.8,,177,
Europe & Central Asia (excluding high income),ECA,2000,4.806488858,68.89499096,40,35.55456122,20.37229905,42.84372332,,91,
Europe & Central Asia,ECS,2000,8.000106574,73.12077727,27,17.6,10.3,21.3,,52,
Ecuador,ECU,2000,3.33441973,72.839,120,24.6,14,29.5,0.3,68,
"Egypt, Arab Rep.",EGY,2000,4.92244291,68.007,79,37.2,22.5,46.7,0.1,26,
Euro area,EMU,2000,8.643205753,78.19590477,9,4.735003888,3.165874628,5.844643003,0.225585093,,
Eritrea,ERI,2000,5.76670074,56.111,735,56.3,27.1,85.5,1.5,177,
Spain,ESP,2000,6.7992177,78.96585366,5,4.4,2.8,5.4,0.4,22,
Estonia,EST,2000,5.17029095,70.41707317,25,8.7,5.3,11,0.1,65,
Ethiopia,ETH,2000,4.36504698,50.538,953,87.4,48.3,141.2,2.7,421,
European Union,EUU,2000,8.439096725,77.07530499,11,5.907992268,3.860929493,7.171757893,0.191103341,,
Fragile and conflict affected situations,FCS,2000,4.052645042,55.46962636,780,85.8785779,40.62565713,138.6299029,2.278230579,,
Finland,FIN,2000,7.09,77.46585366,7,3.5,2.5,4.3,,12,
Fiji,FJI,2000,3.42441177,66.31,49,19.3,9.9,22.6,0.1,22,
France,FRA,2000,9.58447742,79.05609756,9,4.1,2.7,5.4,0.2,12,
Faroe Islands,FRO,2000,,78.43658537,,,,,,,
"Micronesia, Fed. Sts.",FSM,2000,7.76511145,69.769,60,31.6,20.5,38.8,,102,
Gabon,GAB,2000,2.90186048,61.069,249,53.6,28.1,84.4,5.1,515,
United Kingdom,GBR,2000,7.12928009,77.74146341,11,5.6,3.8,6.5,,12,
Georgia,GEO,2000,7.19,69.575,53,31.7,22.6,36.4,0.1,254,
Ghana,GHA,2000,2.790447,58.195,499,64.5,35.9,100,2.6,216,
Gibraltar,GIB,2000,,81.37,,,,,,,
Guinea,GIN,2000,4.74825478,52.479,971,100.6,46.6,165.6,1.7,228,
"Gambia, The",GMB,2000,6.65441465,56.942,778,61.5,40.1,113.1,1.6,187,
Guinea-Bissau,GNB,2000,4.18953228,50.121,1300,104.8,54.9,173.5,3.8,305,
Equatorial Guinea,GNQ,2000,1.10720015,53.226,427,106.9,46.4,155.4,3.9,187,
